Model Type,Hyperparameters,Train Loss,Valid Loss,Train Perplexity,Valid Perplexity,Epochs,Learning Rate,Weights
LSTM,"{'hidden_dim': 542, 'embedding_dim': 400, 'n_lstm_layers': 2, 'lr': 0.1, 'output_size': 10036}",4.14982918964305,3.6908184232786216,63.4231660392178,40.077634007237755,37,0.1,10612676
LSTM,"{'hidden_dim': 485, 'embedding_dim': 400, 'n_lstm_layers': 2, 'lr': 0.1, 'output_size': 10036}",4.083000940427743,3.673265146239014,59.32322846958421,39.380278536829046,37,0.1,10612676
LSTM,"{'hidden_dim': 542, 'embedding_dim': 400, 'n_lstm_layers': 1, 'lr': 0.1, 'output_size': 10036}",4.099835920714322,3.6729359493207774,60.33038781827195,39.36731680409372,37,0.1,10612676
LSTM,"{'hidden_dim': 485, 'embedding_dim': 400, 'n_lstm_layers': 1, 'lr': 0.1, 'output_size': 10036}",4.091695784351177,3.6622973029961687,59.841283622754986,38.95072177665056,37,0.1,10612676
